city_code,indicator_key,year,value,unit,status,missing_reason,source_url,bulletic_eid,lineage_ruling
ANHUI_HEFEI,secondary_gdp,2021,4171.21,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/25210.html,25210,K669fix-parse-2021
ANHUI_HEFEI,tertiary_gdp,2021,6890.54,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/25210.html,25210,K669fix-parse-2021
ANHUI_HEFEI,gdp_percapita,2021,121187,元,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/25210.html,25210,K669fix-parse-2021
ANHUI_HEFEI,fiscal_rev,2021,844.22,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/25210.html,25210,K669fix-parse-2021
ANHUI_HEFEI,fixed_asset,2021,,,DATA_MISSING,"669通用 parse-2021: bulletin 仅发增长%, 无绝对值 (守红线-3, per 669a-2021 §2)",https://tjgb.hongheiku.com/djs/25210.html,25210,K669fix-parse-2021
ANHUI_HEFEI,retail,2021,5111.68,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/25210.html,25210,K669fix-parse-2021
ANHUI_HEFEI,trade,2021,514.60,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/25210.html,25210,K669fix-parse-2021
ANHUI_WUHU,gdp_total,2021,4302.63,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/26069.html,26069,K669fix-parse-2021
ANHUI_WUHU,gdp_growth,2021,11.6,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/26069.html,26069,K669fix-parse-2021
ANHUI_WUHU,primary_gdp,2021,169.58,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/26069.html,26069,K669fix-parse-2021
ANHUI_WUHU,secondary_gdp,2021,2048.96,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/26069.html,26069,K669fix-parse-2021
ANHUI_WUHU,tertiary_gdp,2021,2084.09,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/26069.html,26069,K669fix-parse-2021
