city_code,indicator_key,year,value,unit,status,missing_reason,source_url,bulletic_eid
LIAONING_SHENYANG,fiscal_rev,2024,825.6,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/60025.html,60025
LIAONING_SHENYANG,fixed_asset,2024,,,DATA_MISSING,"669fix-b-2024: bulletin 仅发增长%, 无绝对值 (守红线-3, per 669a-2021 §2)",https://tjgb.hongheiku.com/djs/60025.html,60025
LIAONING_SHENYANG,retail,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 retail 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/60025.html,60025
LIAONING_SHENYANG,trade,2024,1465.6,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/60025.html,60025
JILIN_CHANGCHUN,gdp_total,2024,7632.19,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,gdp_growth,2024,4.8,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,primary_gdp,2024,507.3,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,secondary_gdp,2024,2699.15,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,tertiary_gdp,2024,4425.74,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,gdp_percapita,2024,83930,元,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,fiscal_rev,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 fiscal_rev 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,fixed_asset,2024,,,DATA_MISSING,"669fix-b-2024: bulletin 仅发增长%, 无绝对值 (守红线-3, per 669a-2021 §2)",https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,retail,2024,2182.65,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
JILIN_CHANGCHUN,trade,2024,1275.06,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/65055.html,65055
HEILONGJIANG_HARBIN,gdp_total,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 gdp_total 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/64081.html,64081
HEILONGJIANG_HARBIN,gdp_growth,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 gdp_growth 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/64081.html,64081
HEILONGJIANG_HARBIN,primary_gdp,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 primary_gdp 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/64081.html,64081
